spec_id,wavelength,significance,width_ratio,score,redshift,n_survivors,ra,dec,spectype,data_release,n_lines_in_spectrum,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class,hunt_rank,search_mode,nearest_known_line,nearest_line_dv_kms,n_spectra_at_wavelength,triage_verdict,galaxy_z,galaxy_rest_lines
05fc1ec0-5e01-11f0-83d7-525400f334e1,7490.313585107577,10.13640779582352,1.0863409491323897,0.8164339975790409,-8.593573875259608e-05,1,147.32357,2.8148171,STAR,SDSS-DR17,1,2MASS J09491765+0248534,LM*,M1V,1.0,lm*,0.8164339975790409,emission,7394.24,3895.2,1,survives,,
04c8c3be-5e28-11f0-8fe5-525400f334e1,4753.352259428054,8.367191566137462,1.0362494542775231,0.801431855927653,-0.0008991481154225,1,8.9522896,-8.7274504,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.801431855927653,emission,4728.12,1599.9,1,survives,,
05f8bfdd-5e2f-11f0-b9fb-525400f334e1,6969.473963563211,9.310528946200089,1.0954243796894565,0.7980479103445599,-2.69207976089092e-05,1,178.34694,37.221717,STAR,SDSS-DR17,1,GALEX J115323.2+371318,WD*,DA,1.0,white dwarf (other),0.7980479103445599,emission,6950.82,804.6,2,survives,,
06074d57-5e33-11f0-95bf-525400f334e1,7830.689431433755,8.416411546395043,1.0834126033170492,0.7870996354244351,-0.0040200711227953,1,38.364301,23.775541,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7870996354244351,emission,7824.15,250.6,1,known_line_window,,
002c740c-5e1f-11f0-970e-525400f334e1,6200.118642087248,9.896297886720992,1.1481499931992851,0.7763660093096227,0.0009239239734597,1,134.15315,3.3801,STAR,SDSS-DR17,1,[HKW2016] 134.153152+03.380103,*,F5,1.0,*,0.7763660093096227,emission,6197.71,116.5,1,known_line_window,,
00b0f23c-5e34-11f0-99fb-525400f334e1,6403.24324468947,8.175158569165207,1.144771139043277,0.7472844565498293,0.0002670518588274,1,120.0524,7.637376,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.7472844565498293,emission,6381.06,1042.2,2,survives,,
05c2336a-5e17-11f0-b7d5-525400f334e1,6603.892574785453,16.185117472714207,1.281868963717081,0.7461789519662931,-0.0004502889933064,1,263.08011,7.017559,STAR,SDSS-DR17,1,SDSS J173219.22+070103.1,*,,1.0,*,0.7461789519662931,emission,6615.43,522.8,2,survives,,
05f997a2-5e34-11f0-b94f-525400f334e1,7095.777679633888,8.809370434446926,1.1684782628531425,0.7424226372792573,6.064536137273535e-05,1,121.76493,6.83959,STAR,SDSS-DR17,1,SDSS J080703.58+065022.5,*,F9,1.0,*,0.7424226372792573,emission,7067.2,1212.3,1,survives,,
00ac8d30-5e07-11f0-b95a-525400f334e1,6602.372147377998,24.14604266927638,0.9136864380858274,0.8395181582731971,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.7300157898027801,emission,6615.43,591.7,2,galaxy_zmatch,0.005752382453488858,"Ha6563,[SII]6716"
00ac8d30-5e07-11f0-b95a-525400f334e1,6602.372147377998,24.14604266927638,0.9136864380858274,0.8395181582731971,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.7300157898027801,emission,6615.43,591.7,2,duplicate,,
0577e38d-5e36-11f0-a1ac-525400f334e1,3991.167918200923,8.480790940665994,0.9684757545187166,0.8045219180592607,-0.0006560796755366,1,252.55019,42.309919,STAR,SDSS-DR17,2,HS 1648+4223,RG*,KIII,1.0,rg*,0.6995842765732702,emission,3971.22,1505.9,1,survives,,
041ad37c-5e2b-11f0-91dd-525400f334e1,8855.233145028547,8.411647242544397,0.9188173511741852,0.787980708626026,-4.64535150968004e-05,1,191.96953,34.829397,STAR,SDSS-DR17,2,2MASS J12475262+3449468,LM*,M9V,1.0,lm*,0.6852006161965444,emission,8865.23,338.1,1,survives,,
03421a8e-5e33-11f0-bb6e-525400f334e1,6718.928197763023,11.555162267955208,1.304628421354476,0.6748888855856692,-0.0004751083615701,1,47.253242,-0.83199,STAR,SDSS-DR17,1,SDSS J030900.78-004955.1,*,F9,1.0,*,0.6748888855856692,emission,6718.29,28.5,2,known_line_window,,
01977afd-5de1-11f0-8f4d-525400f334e1,6743.727297598055,8.28684095682902,1.266759354235035,0.6515950324488398,-0.0004409307439345,1,310.46691,76.379416,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.6515950324488398,emission,6732.67,492.4,2,survives,,
003cda7d-5df0-11f0-a990-525400f334e1,6809.26129679685,16.794376191361504,1.4218549890405412,0.6503725816747399,-0.0001665785821387,1,47.488109,0.50493542,STAR,SDSS-DR17,1,2MASS J03095713+0030176,LM*,M1V,1.0,lm*,0.6503725816747399,emission,6865.79,2468.3,1,survives,,
075ce8ef-5e39-11f0-9745-525400f334e1,6967.86936762078,8.88238459404239,1.2882020341238296,0.6449678628942386,0.0004660765116568,1,169.34954,17.489308,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.6449678628942386,emission,6950.82,735.3,2,survives,,
05f5db0b-5e33-11f0-9907-525400f334e1,5468.900223137945,10.594121896854665,1.3426702137384734,0.6308073398434135,-8.943183638621122e-05,1,37.876907,24.238581,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.6308073398434135,emission,5457.12,647.2,1,survives,,
0733dcfd-5e18-11f0-9740-525400f334e1,4011.437222087667,11.389195706020852,1.3764537054953765,0.6185655382473156,-0.0002280431945109,1,283.05668,19.710112,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.6185655382473156,emission,4027.34,1183.8,2,survives,,
03dea51d-5e1a-11f0-96fc-525400f334e1,7568.328950209744,8.033844633162968,0.9159711270320742,0.7792627730932478,-0.0010646332520991,1,174.45614,67.552624,STAR,SDSS-DR17,3,SDSS J113749.46+673309.4,Pe*,A0,1.0,pe*,0.5994329023794214,emission,7591.09,898.9,1,survives,,
06e6383d-5e0e-11f0-ba5e-525400f334e1,4010.513660865759,8.497649200536074,1.3494477306062227,0.5893835075054812,0.0001167690352303,1,112.92514,40.027739,STAR,SDSS-DR17,1,Gaia DR3 900371552087184896,*,,1.0,*,0.5893835075054812,emission,4027.34,1252.5,2,survives,,
06b1cbbc-5e0f-11f0-9405-525400f334e1,7141.67364109735,10.613091011810706,1.3127961436147513,0.6543033145817645,7.54794164095074e-05,1,113.09477,41.652699,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.5689594039841431,emission,7067.2,3159.2,1,survives,,
06b8be5c-5e2e-11f0-803f-525400f334e1,4186.971454370618,8.384439760930176,1.3794590365632633,0.5660387772333046,0.000365664018318,1,181.3852,30.057023,STAR,SDSS-DR17,1,SDSS J120532.44+300325.2,*,sdA,1.0,*,0.5660387772333046,emission,4227.89,2901.5,1,survives,,
00601e68-5e11-11f0-9362-525400f334e1,6856.460841231655,11.343743450289235,1.4689283938277875,0.5655363871346852,-1.5967427316354588e-05,1,223.44484,14.514496,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.5655363871346852,emission,6865.79,407.4,1,survives,,
00615829-5e1f-11f0-b527-525400f334e1,3957.3093392936153,8.2566658027597,0.8488052493151553,0.6444298395792559,0.0006159165641292,2,134.04327,3.688405,STAR,SDSS-DR17,2,SDSS J085610.38+034118.2,*,A0,1.0,*,0.5603737735471791,emission,3967.47,767.8,1,survives,,
00a7acab-5e30-11f0-ae46-525400f334e1,6717.381285473806,13.72709898255685,1.59320796632271,0.5569245017492033,0.0005910513573326,1,75.55571,-3.2368405,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.5569245017492033,emission,6718.29,40.5,2,known_line_window,,
06371fde-5de5-11f0-8630-525400f334e1,6765.501583068967,25.45690283536708,1.12165765052264,0.7922959341683669,-0.0001278167183045,3,223.85688,-0.29795128,STAR,SDSS-DR17,4,2MASS J14552564-0017526,LM*,M4V,1.0,lm*,0.5464109890816323,emission,6732.67,1461.9,2,survives,,
07361cb0-5e17-11f0-bf2f-525400f334e1,4081.313915969723,9.678960744592445,0.8718389448225684,0.7859561583292363,-9.981786570278928e-05,1,263.25623,7.576793,STAR,SDSS-DR17,4,,,,0.0,unexamined,0.5420387298822319,emission,4072.85,623.0,3,recurrent_across_runs,,
0355938b-5e33-11f0-9d68-525400f334e1,6523.790409982095,9.476172159581,1.372728336169043,0.5907343246686145,6.716226380376611e-06,1,36.950729,23.784439,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.5136820214509692,emission,6534.8,505.1,1,survives,,
05f01cd4-5e33-11f0-9422-525400f334e1,4054.1517440650287,8.463507809821003,1.4885869320437777,0.5088018604698019,-0.0005767212714999,1,37.860725,24.552601,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.5088018604698019,emission,4046.94,534.2,2,survives,,
03ed1fe8-5e2c-11f0-82cb-525400f334e1,5734.558665459642,8.384435264736535,1.48769916303324,0.5076301000176386,0.0001406849187333,1,63.030579,-5.4319505,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.5076301000176386,emission,5706.68,1464.6,1,survives,,
040247bb-5e34-11f0-9f0b-525400f334e1,4815.041116556669,8.462100761315483,1.50959341682779,0.5007686997319432,8.456724026473239e-05,1,120.95178,6.818392,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.5007686997319432,emission,4862.66,2935.8,1,survives,,
000a7794-5e0f-11f0-b02f-525400f334e1,3911.1097238892985,8.547633047720229,1.5429669677886677,0.4916737801518738,1.1021194040949922e-05,1,113.17064,40.446476,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.4916737801518738,emission,3890.2,1611.4,1,survives,,
05b0282f-5e0a-11f0-b84c-525400f334e1,5802.297599818741,8.516879335478782,1.5788468104926452,0.4819725499565295,-0.0001856726739788,1,4.2423243,-10.185658,STAR,SDSS-DR17,1,SDSS J001658.16-101108.4,LM*,M0,1.0,lm*,0.4819725499565295,emission,5798.71,185.5,1,known_line_window,,
0195cb1a-5e2f-11f0-bd92-525400f334e1,4319.167036710428,8.107386415603541,1.5568263062327246,0.4792587912706103,-9.204630623571576e-05,1,140.23291,13.830472,STAR,SDSS-DR17,1,,,,0.0,unexamined,0.4792587912706103,emission,4309.21,692.7,2,survives,,
05f3a1bc-5e13-11f0-80b4-525400f334e1,6008.9695048348585,9.639667210645625,1.4770026157240852,0.5350750467414291,-0.0001293285749852,1,112.99533,39.462388,STAR,SDSS-DR17,2,,,,0.0,unexamined,0.4652826493403732,emission,5897.55,5663.8,1,survives,,
00bb0ce8-5e24-11f0-91d9-525400f334e1,5322.307958283607,14.279188463373412,1.2623844037527836,0.7438647287975602,-0.0001648162287892,1,345.93954,-8.825172,STAR,SDSS-DR17,6,,,,0.0,unexamined,0.4250655593128915,emission,5329.48,403.4,1,survives,,
075d1f5a-5e21-11f0-9c0e-525400f334e1,4261.868054241604,8.219720627101193,1.5558410061631174,0.4817514117676554,-0.0009852704824879,1,224.8788,32.760554,STAR,SDSS-DR17,2,2MASS J14593091+3245379,RG*,F9,1.0,rg*,0.4189142711023091,emission,4273.0,781.0,2,survives,,
00ac8d30-5e07-11f0-b95a-525400f334e1,6756.161150841544,9.179364551419251,1.380926699358069,0.4799238918330816,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.4173251233331144,emission,6732.67,1046.0,2,galaxy_zmatch,0.005752382453488858,"Ha6563,[SII]6716"
00ac8d30-5e07-11f0-b95a-525400f334e1,6756.161150841544,9.179364551419251,1.380926699358069,0.4799238918330816,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.4173251233331144,emission,6732.67,1046.0,2,duplicate,,
07aa3cfa-5e3a-11f0-b81c-525400f334e1,7353.599954754009,8.59138375068541,1.4646507172138945,0.5216363009101851,0.0001828248496167,1,219.75219,22.156463,STAR,SDSS-DR17,3,,,,0.0,unexamined,0.4012586930078347,emission,7360.73,290.4,1,known_line_window,,
04254954-5e34-11f0-89f1-525400f334e1,6599.332342635646,10.006467569941464,1.1572867801137912,0.6383823671016258,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.3989889794385161,emission,6585.27,640.2,1,survives,,
