star_id,ra,dec,teff,logg,fe_h,snr,chi2,vbroad,rv_scatter,rv,fiber,field_id,survey,n_elements,z_max,z_max_signed,element_max,family_max,z_second,element_second,n_discrepant,n_active,n_active_same_sign,n_quiet,z_rest_rms,z_background_rms,contrast,family_mean_z,n_family_active,n_family_siblings,classification,reason,n_elements_all,z_C_excluded,z_N_excluded,n_used,chi2_reduced,chi2_leave_one_out,z_sum_abs,z_C,z_N,z_O,z_Na,z_Mg,z_Al,z_Si,z_K,z_Ca,z_Ti,z_TiII,z_V,z_Cr,z_Mn,z_Co,z_Ni,z_Ce,pass_snr,pass_chi2,pass_ruwe,pass_rv_scatter,pass_vbroad,pass_metallicity,cool_star_caveat,pass_population,pass_n_elements,pass_pipeline_flags,element_caveat,caveated_element,resolution_trusted,resolution_note,needs_high_resolution_confirmation,vet_pass,vet_reasons,vet_untested,element_flag_rate,pass_element_rate,field_flag_ratio,pass_field_rate,pass_rv_window,rv_window_reason,rv_window_untested,pass_fiber_window,fiber_window_reason,fiber_window_untested,rv_flag_ratio,pass_rv_rate,fiber_flag_ratio,pass_fiber_rate,rvscatter_flag_ratio,pass_rvscatter_rate
2M03434841+2511241,55.951721,25.190042,5212.6772,4.5458984,0.0006153602,568.91364,4.849087,32.55367,9.010101,9.530653,215.47087,PLEIADES-W,APOGEE,12,28.92774041007635,-28.92774041007635,Cr,fe_peak,3.7026765308108183,Ti,1,3,1,9,1.637439899528535,1.637439899528535,17.666444074317145,1.3609617165493837,1,3,SPARSE,single-element excursion with a quiet background,12,0.012088837833703034,,12,72.19228907525104,2.681209424568019,41.58365689576157,0.012088837833703034,,-1.5847993693503335,-0.7537688811489558,-0.06593343162893729,0.0048860625988483355,1.591560597029338,-0.4776340619552427,0.3917724015145967,-3.7026765308108183,,-0.41207867473694304,-28.92774041007635,3.034873652282993,,-0.6359328226282149,,True,False,True,False,False,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,False,fit chi2 > 4.0; RV scatter > 1.0 km/s (spectroscopic binary); line broadening > 15.0 km/s,ruwe(no ruwe); pipeline_flags(no flags),0.016254955251268025,True,1.1833020443505913,True,True,,False,True,,False,0.8643700222392848,True,0.9037540223904224,True,2.3917659268614138,True
2M21322339+1223283,323.097491,12.391199,5811.924,4.049786,-0.67114,132.17804,1.6886513,2.564425,0.1677231,10.725756,199.08301,INTCL_N7078_MGA,APOGEE,12,28.773600529175503,-28.773600529175503,Mn,fe_peak,1.9142246113495205,Cr,1,1,0,11,1.1903750675921592,1.1903750675921592,24.17187768169367,1.3828485053721369,0,3,SPARSE,single-element excursion with a quiet background,12,,,12,70.29225068579701,1.4169928015450377,40.85634772040254,,,-1.0761153319582157,0.84737483919617,0.7922314478508026,1.675186334627526,0.6225022876028132,-1.2462093061398358,0.8161207562292141,0.858461371506047,,-0.49544266865890396,-1.9142246113495205,-28.773600529175503,,1.738878236107986,,True,True,True,True,True,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.0077925415325079735,True,0.9086069269120611,True,True,,False,True,,False,0.8070141552049688,True,1.0298334921280554,True,0.8541859866311636,True
2M10405896+5103274,160.245707,51.057629,5351.173,4.520337,-0.13733,215.43387,3.1819987,17.55901,0.0,-31.488508,237.0,160+56_MGA,APOGEE,12,28.032228081970224,-28.032228081970224,Cr,fe_peak,2.3284686278852162,K,1,2,1,10,0.9648534524371489,0.9648534524371489,28.032228081970224,0.3634629905993901,0,3,SPARSE,single-element excursion with a quiet background,12,-1.1093056685158185,,12,66.3371812725899,0.9309421846798855,36.5364346300395,-1.1093056685158185,,0.7472362150911642,-0.27763122678730867,0.7263972641186459,-1.185951034728805,0.61591347763987,-2.3284686278852162,-1.0347035653780456,-0.49751616464204756,,-0.1339496742188424,-28.032228081970224,-0.28301439183746796,,-0.6734249057418599,,True,True,True,True,False,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,False,line broadening > 15.0 km/s,ruwe(no ruwe); pipeline_flags(no flags),0.016254955251268025,True,0.6320743839388251,True,True,,False,True,,False,1.1469770103646475,True,0.9892977154817607,True,0.9699869228940808,True
2M18553411-2153444,283.892147,-21.895685,4974.026,4.536479,0.1717,94.65147,2.690915,1.5136658,0.0,41.315983,34.0,K2_C7_014-11,APOGEE,12,24.074637384604454,-24.074637384604454,K,odd_z,1.2374966154205704,Si,1,1,0,11,0.5855586222519455,0.5855586222519455,24.074637384604454,0.20422576641068058,0,2,SPARSE,single-element excursion with a quiet background,12,0.8348950873612944,-1.552218280354098,12,48.613319425102,0.3428789000935966,29.168525093921918,0.8348950873612944,-1.552218280354098,0.07781358015149435,-0.09638979579702918,0.43164102669608595,0.312061737024332,1.2374966154205704,-24.074637384604454,-0.9699975247100208,0.06520716442666186,,0.5099481200893876,0.6239372320319561,-0.2253999592761511,,-0.5439949536937747,,True,True,True,True,True,True,False,True,True,True,two weak lines with significant blending,True,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.008648016945438609,True,3.4890505993423147,True,True,,False,True,,False,0.8897521995083173,True,1.009821386425746,True,0.9699869228940808,True
2M18534075+6707107,283.419802,67.119644,5437.9277,4.532056,-0.47141,304.3397,2.9454389,14.976145,0.0,8.269691,82.0,CVZTILE_098+26_btx,APOGEE,12,22.85217737812331,-22.85217737812331,Cr,fe_peak,4.931132532759962,K,1,3,2,9,1.8354302675120986,1.8354302675120986,12.45058326792177,1.4904518614979574,1,3,SPARSE,single-element excursion with a quiet background,12,0.6389741948067742,,12,46.60657148809216,3.368804266899534,36.00296701211251,0.6389741948067742,,-0.8870845020316535,1.7062453946301428,-0.029401835377297444,-0.08511699695437064,0.00696396155132198,-4.931132532759962,-0.9837127831404691,-0.049776043050106605,,-2.275938726705893,-22.85217737812331,1.5847585188899493,,-0.6106583388980299,,True,True,True,True,True,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.016254955251268025,True,2.106914613129417,True,True,,False,True,,False,0.8643700222392848,True,1.057866698793587,True,0.9699869228940808,True
2M17111221+5623577,257.8009,56.399384,5829.2295,4.4015307,-0.37005,166.42032,3.6372235,1.5190078,0.14539666,13.2216625,15.49928,085+35_MGA,APOGEE,12,19.213123333185493,-19.213123333185493,K,odd_z,2.927129250524073,Mn,1,2,1,10,1.4007008652711352,1.4007008652711352,13.716792649704251,1.3457805675956431,0,2,SPARSE,single-element excursion with a quiet background,12,-0.722070339873739,,12,32.560475022490095,1.9619629139713068,32.24555684798123,-0.722070339873739,,-0.38343946305891113,-0.9742903114389042,-0.6348104522163489,-1.7172708237523822,-1.3071784341035526,-19.213123333185493,-0.03509670858417371,1.7515059151769523,,0.8359398819213588,1.388936499033797,-2.927129250524073,,-1.0768357749852835,,True,True,True,True,True,True,False,True,True,True,two weak lines with significant blending,True,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.008648016945438609,True,1.5763782828353832,True,True,,False,True,,False,0.8070141552049688,True,0.8919082050120557,True,0.8541859866311636,True
2M21562571-0040473,329.107151,-0.679824,5957.597,4.2231035,-0.25747,725.27826,2.7784336,7.4742913,3.450815,-27.098345,28.0,059-41_MGA,APOGEE,12,18.892114151651146,-18.892114151651146,Mn,fe_peak,2.563366582469896,Ti,1,3,1,9,1.3247078976292335,1.3247078976292335,14.261343338755255,1.4678821867033174,1,3,SPARSE,single-element excursion with a quiet background,12,-0.8617923447961975,,12,31.35127818945595,1.7548510140412639,30.28468645755039,-0.8617923447961975,,0.0360040520986448,-1.1569050117383584,-0.18451020829387016,-1.7850106826149574,-0.20974584957831577,-0.38736114904930957,-0.6660222099459382,-2.563366582469896,,1.090256108101895,2.311262325708682,-18.892114151651146,,1.002128126299375,,True,True,True,False,True,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,False,RV scatter > 1.0 km/s (spectroscopic binary),ruwe(no ruwe); pipeline_flags(no flags),0.0077925415325079735,True,1.7195141842636856,True,True,,False,True,,False,1.1354205464397984,True,0.8919082050120557,True,2.3917659268614138,True
2M14362553+5204153,219.106406,52.07093,5831.438,4.1480036,-0.38155,121.87852,2.1250541,1.5039382,0.11319906,-79.34091,296.0,090+59_MGA,APOGEE,12,17.68596724363953,17.68596724363953,Ni,fe_peak,0.9874601314656648,Mg,1,1,0,11,0.6337392138564564,0.6337392138564564,17.68596724363953,0.3982952647527503,0,3,SPARSE,single-element excursion with a quiet background,12,-0.5909383041529465,1.0558598734893523,12,26.43427638717199,0.4016253911793994,24.20864879552636,-0.5909383041529465,1.0558598734893523,0.5945790548448039,-0.7646350393561621,0.9874601314656648,0.5883532758586062,0.688231993293644,0.5996948743328557,-0.630167381070052,0.47467400740678944,,-0.4105686446132049,-0.7287476051954477,0.0555695444495982,,17.68596724363953,,True,True,True,True,True,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.0043856128547347835,True,1.5302853505887344,True,True,,False,True,,False,1.3225358158642941,True,1.0743216829542488,True,0.7802834024300408,True
2M07162452+2903580,109.102179,29.066113,4966.2515,4.5693035,0.062506,127.151855,3.3837636,4.439356,0.037125982,6.5623913,86.12882,188+18,APOGEE,12,17.670457508902995,-17.670457508902995,Cr,fe_peak,1.737870518881179,K,1,1,0,11,1.021905031745887,1.021905031745887,17.291682651482468,0.8607240717231663,0,3,SPARSE,single-element excursion with a quiet background,12,-2.2932533655250436,-0.2719934597743975,12,26.977688117244117,1.0442898939075624,27.757775992093503,-2.2932533655250436,-0.2719934597743975,-1.564617459340892,-1.1401520124371816,-0.664150356379975,-1.07305584343124,-0.4330247160140706,-1.737870518881179,0.14167953859808347,0.7505958229383893,,0.7056595778709133,-17.670457508902995,-0.7181505673775748,,-1.1583620699210113,,True,True,True,True,True,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,True,,ruwe(no ruwe); pipeline_flags(no flags),0.016254955251268025,True,0.8076506016996099,True,True,,False,True,,False,0.8643700222392848,True,1.057866698793587,True,0.7141554970194974,True
2M19000714+6416314,285.029778,64.275406,5343.8,4.5169587,-0.18347,183.599,3.8048716,20.40328,0.0,1.8102609,290.0,CVZTILE_094+23_btx,APOGEE,12,17.591939842715448,-17.591939842715448,Cr,fe_peak,2.3493314566481183,K,1,2,1,10,0.9885890995271246,0.9885890995271246,17.591939842715448,0.6394530951153315,0,3,SPARSE,single-element excursion with a quiet background,12,0.26618513380557307,,12,26.685561659538465,0.9773084077038511,25.998895738499414,0.26618513380557307,,-0.3588351058661066,-0.53819557466674,0.5622100420699765,0.021100344649462224,-1.364830859335128,-2.3493314566481183,1.0204467675203757,-0.2736464596820644,,0.2395835468834547,-17.591939842715448,-0.6803435436341511,,0.9984321948283889,,True,True,True,True,False,True,False,True,True,True,,False,True,"R~22,500: adequate to separate the line from its neighbours",False,False,line broadening > 15.0 km/s,ruwe(no ruwe); pipeline_flags(no flags),0.016254955251268025,True,1.8172138538241223,True,True,,False,True,,False,0.936849240111762,True,1.0743216829542488,True,0.9699869228940808,True
