element,family,n_measured,n_flagged,flag_rate,n_sparse_candidates_carried,excluded_by_construction
Na,odd_z,113029,3240,0.028665209813410718,1581,False
Cr,fe_peak,115534,1878,0.016254955251268025,711,False
O,alpha,136663,1352,0.009892948347394686,148,False
K,odd_z,136910,1184,0.008648016945438609,226,False
Mn,fe_peak,132306,1031,0.0077925415325079735,94,False
Ca,alpha,136956,937,0.0068416133648763105,62,False
Si,alpha,137017,728,0.005313209309793675,43,False
Ti,alpha,131975,637,0.004826671718128434,26,False
N,cno,47418,228,0.00480830064532456,0,True
V,fe_peak,90335,409,0.004527591741849781,226,False
Ni,fe_peak,137039,601,0.0043856128547347835,23,False
Al,odd_z,115870,289,0.0024941745059117977,24,False
Mg,alpha,137017,298,0.0021749126020858727,8,False
C,cno,134981,213,0.0015779998666478987,0,True
Ce,s_heavy,1300,2,0.0015384615384615385,1,False
TiII,alpha,1114,0,0.0,0,False
Co,fe_peak,1280,0,0.0,0,False
