element,family,n_measured,n_flagged,flag_rate,n_sparse_candidates_carried,excluded_by_construction
K,odd_z,72772,884,0.012147529269499259,528,False
Y,s_light,72694,679,0.009340523289404903,249,False
Cr,fe_peak,73702,667,0.009049957938726223,35,False
Ca,alpha,73772,655,0.008878707368649352,50,False
Ba,s_heavy,73744,612,0.008298980256020829,50,False
Mg,alpha,73760,515,0.006982104121475054,98,False
Sc,odd_z,73690,446,0.006052381598588682,20,False
Na,odd_z,73784,347,0.0047029166214897535,14,False
O,alpha,70821,288,0.004066590418096328,43,False
Si,alpha,73524,281,0.003821881290462978,7,False
Al,odd_z,71836,262,0.0036471963917812794,92,False
Mn,fe_peak,73789,254,0.003442247489463199,7,False
Co,fe_peak,73367,243,0.0033121158013820927,15,False
Cu,fe_peak,73516,233,0.0031693780945644488,47,False
Ti,alpha,73189,222,0.0030332427004057987,2,False
Ni,fe_peak,73734,218,0.002956573629533187,5,False
La,s_heavy,25581,70,0.002736405926273406,8,False
Zn,fe_peak,73617,187,0.002540174144559001,64,False
V,fe_peak,72949,165,0.002261854172092832,6,False
Ce,s_heavy,12885,19,0.001474582848273186,1,False
Nd,r_mixed,61594,58,0.0009416501607299412,0,False
Zr,s_light,18671,8,0.0004284719618659954,0,False
Sm,r_mixed,11726,1,8.528057308545113e-05,0,False
Sr,s_light,3642,0,0.0,0,False
Eu,r_process,808,0,0.0,0,False
