z_flag,quiet_excess_sigma,min_contrast,family_max_mean_z,n_stars,n_sparse,n_dense,sparse_rate,sparse_over_dense,rate_over_griffith
5.0,0.0,3.0,1.5,137047,2540,3069,0.018533787678679577,0.8276311502117953,102.44242242928826
5.0,0.0,5.0,1.5,137047,2043,3566,0.014907294577772588,0.5729108244531688,82.39758622954169
5.0,0.0,8.0,1.5,137047,308,5301,0.0022474041752099643,0.05810224485946048,12.422152011110542
5.0,1.0,3.0,1.5,137047,2998,2611,0.021875706874284005,1.148219073152049,120.91432379645913
5.0,1.0,5.0,1.5,137047,2194,3415,0.01600910636496968,0.6424597364568082,88.48766724797575
5.0,1.0,8.0,1.5,137047,330,5279,0.0024079330448678192,0.06251183936351581,13.309448583332726
5.0,2.0,3.0,1.5,137047,3173,2436,0.02315264106474421,1.3025451559934318,127.97236471186284
5.0,2.0,5.0,1.5,137047,2249,3360,0.016410428539114317,0.669345238095238,90.7059086785312
5.0,2.0,8.0,1.5,137047,339,5270,0.002473603946091487,0.06432637571157496,13.672433544696345
6.0,0.0,3.0,1.5,137047,1395,1847,0.010178989689668507,0.7552788305360043,56.26266901136106
6.0,0.0,5.0,1.5,137047,1300,1942,0.009485796843418682,0.6694129763130793,52.431161085856196
6.0,0.0,8.0,1.5,137047,301,2941,0.0021963268075915563,0.1023461407684461,12.139830374494396
6.0,1.0,3.0,1.5,137047,1637,1605,0.011944807255904908,1.01993769470405,66.02293130580506
6.0,1.0,5.0,1.5,137047,1436,1806,0.010478157128576328,0.7951273532668881,57.91626716868423
6.0,1.0,8.0,1.5,137047,320,2922,0.0023349653768415216,0.10951403148528405,12.90613195959537
6.0,2.0,3.0,1.5,137047,1736,1506,0.012667187169365254,1.152722443559097,70.01576588080488
6.0,2.0,5.0,1.5,137047,1488,1754,0.010857589002313076,0.8483466362599772,60.01351361211847
6.0,2.0,8.0,1.5,137047,328,2914,0.0023933395112625596,0.11256005490734386,13.228785258585255
7.0,0.0,3.0,1.5,137047,739,1156,0.005392310667143389,0.639273356401384,29.80509849419056
7.0,0.0,5.0,1.5,137047,720,1175,0.005253672097893423,0.6127659574468085,29.038796909089584
7.0,0.0,8.0,1.5,137047,297,1598,0.002167139740381037,0.1858573216520651,11.978503724999452
7.0,1.0,3.0,1.5,137047,881,1014,0.006428451553116814,0.868836291913215,35.532194551261
7.0,1.0,5.0,1.5,137047,831,1064,0.006063613212985326,0.7810150375939849,33.515611432574225
7.0,1.0,8.0,1.5,137047,315,1580,0.0022984815428283728,0.19936708860759494,12.704473647726692
7.0,2.0,3.0,1.5,137047,933,962,0.006807883426853561,0.9698544698544699,37.62944099469525
7.0,2.0,5.0,1.5,137047,872,1023,0.006362780651893146,0.852394916911046,35.169209589897385
7.0,2.0,8.0,1.5,137047,322,1573,0.002349558910446781,0.20470438652256834,12.986795284342842
8.0,0.0,3.0,1.5,137047,400,772,0.002918706721051902,0.5181347150259067,16.132664949494213
8.0,0.0,5.0,1.5,137047,387,785,0.002823848752617715,0.4929936305732484,15.60835333863565
8.0,0.0,8.0,1.5,137047,292,880,0.0021306559063678883,0.33181818181818185,11.776845413130774
8.0,1.0,3.0,1.5,137047,482,690,0.0035170415988675418,0.6985507246376812,19.439861264140525
8.0,1.0,5.0,1.5,137047,460,712,0.0033565127292096873,0.6460674157303371,18.552564691918345
8.0,1.0,8.0,1.5,137047,310,862,0.002261997708815224,0.35962877030162416,12.502815335858015
8.0,2.0,3.0,1.5,137047,520,652,0.0037943187373674723,0.7975460122699386,20.972464434342477
8.0,2.0,5.0,1.5,137047,492,680,0.0035900092668938394,0.7235294117647059,19.843177887877882
8.0,2.0,8.0,1.5,137047,317,855,0.0023130750764336324,0.3707602339181287,12.785136972474165
10.0,0.0,3.0,1.5,137047,127,354,0.0009266893839339789,0.3587570621468927,5.122121121464413
10.0,0.0,5.0,1.5,137047,123,358,0.0008975023167234599,0.3435754189944134,4.9607944719694705
10.0,0.0,8.0,1.5,137047,110,371,0.000802644348289273,0.29649595687331537,4.436482861110909
10.0,1.0,3.0,1.5,137047,153,328,0.0011164053208023526,0.46646341463414637,6.1707443431815365
10.0,1.0,5.0,1.5,137047,148,333,0.0010799214867892037,0.4444444444444444,5.969086031312859
10.0,1.0,8.0,1.5,137047,126,355,0.0009193926171313491,0.35492957746478876,5.081789459090677
10.0,2.0,3.0,1.5,137047,169,312,0.0012331535896444286,0.5416666666666666,6.816050941161305
10.0,2.0,5.0,1.5,137047,163,318,0.00118937298882865,0.5125786163522013,6.574060966918892
10.0,2.0,8.0,1.5,137047,133,348,0.0009704699847497574,0.382183908045977,5.364111095706826
12.0,0.0,3.0,1.5,137047,48,194,0.0003502448065262282,0.24742268041237114,1.9359197939393056
12.0,0.0,5.0,1.5,137047,48,194,0.0003502448065262282,0.24742268041237114,1.9359197939393056
12.0,0.0,8.0,1.5,137047,47,195,0.00034294803972359847,0.24102564102564103,1.89558813156557
12.0,1.0,3.0,1.5,137047,59,183,0.0004305092413551555,0.3224043715846995,2.3795680800503964
12.0,1.0,5.0,1.5,137047,59,183,0.0004305092413551555,0.3224043715846995,2.3795680800503964
12.0,1.0,8.0,1.5,137047,54,188,0.00039402540734200675,0.2872340425531915,2.1779097681817188
12.0,2.0,3.0,1.5,137047,65,177,0.00047428984217093404,0.3672316384180791,2.6215580542928096
12.0,2.0,5.0,1.5,137047,64,178,0.0004669930753683043,0.3595505617977528,2.581226391919074
12.0,2.0,8.0,1.5,137047,58,184,0.00042321247455252576,0.31521739130434784,2.339236417676661
