z_flag,quiet_excess_sigma,min_contrast,family_max_mean_z,n_stars,n_sparse,n_dense,sparse_rate,sparse_over_dense,rate_over_griffith
5.0,0.0,3.0,1.5,73820,798,3141,0.010810078569493363,0.25405921680993315,59.750907613112986
5.0,0.0,5.0,1.5,73820,712,3227,0.009645082633432674,0.220638363805392,53.31158674252686
5.0,0.0,8.0,1.5,73820,106,3833,0.0014359252235166622,0.02765457865901383,7.936837352117765
5.0,1.0,3.0,1.5,73820,1124,2815,0.015226225955025739,0.39928952042628774,84.16042626207893
5.0,1.0,5.0,1.5,73820,887,3052,0.012015713898672446,0.29062909567496725,66.41485595592884
5.0,1.0,8.0,1.5,73820,129,3810,0.0017474939040910322,0.03385826771653543,9.658981305879166
5.0,2.0,3.0,1.5,73820,1341,2598,0.018165808723923055,0.5161662817551963,100.40848008669737
5.0,2.0,5.0,1.5,73820,954,2985,0.012923327011649959,0.31959798994974875,71.43153616905987
5.0,2.0,8.0,1.5,73820,136,3803,0.0018423191547006232,0.03576124112542729,10.183112074415245
6.0,0.0,3.0,1.5,73820,436,2067,0.005906258466540233,0.21093372036768263,32.64585929739005
6.0,0.0,5.0,1.5,73820,420,2083,0.005689515036575454,0.2016322611617859,31.447846112164726
6.0,0.0,8.0,1.5,73820,101,2402,0.0013681929016526686,0.04204829308909242,7.56245823173485
6.0,1.0,3.0,1.5,73820,634,1869,0.008588458412354375,0.3392188336008561,47.471272464553415
6.0,1.0,5.0,1.5,73820,573,1930,0.007762124085613655,0.29689119170984457,42.90384719588187
6.0,1.0,8.0,1.5,73820,121,2382,0.0016391221891086426,0.05079764903442485,9.059974713266504
6.0,2.0,3.0,1.5,73820,758,1745,0.010268219994581414,0.4343839541547278,56.75587465004967
6.0,2.0,5.0,1.5,73820,637,1866,0.008629097805472772,0.34137191854233656,47.69589993678317
6.0,2.0,8.0,1.5,73820,128,2375,0.0017339474397182336,0.053894736842105266,9.584105481802583
7.0,0.0,3.0,1.5,73820,226,1424,0.003061500948252506,0.15870786516853932,16.921936241307684
7.0,0.0,5.0,1.5,73820,224,1426,0.003034408019506909,0.1570827489481066,16.77218459315452
7.0,0.0,8.0,1.5,73820,92,1558,0.0012462747222974804,0.059050064184852376,6.888575815045607
7.0,1.0,3.0,1.5,73820,367,1283,0.004971552424817123,0.2860483242400624,27.479427436105844
7.0,1.0,5.0,1.5,73820,344,1306,0.004659983744242753,0.26339969372128635,25.757283482344445
7.0,1.0,8.0,1.5,73820,111,1539,0.0015036575453806556,0.07212475633528265,8.311216472500677
7.0,2.0,3.0,1.5,73820,437,1213,0.005919804930913031,0.3602638087386645,32.72073512146663
7.0,2.0,5.0,1.5,73820,390,1260,0.005283121105391492,0.30952380952380953,29.201571389867244
7.0,2.0,8.0,1.5,73820,115,1535,0.0015578434028718504,0.0749185667752443,8.610719768807009
8.0,0.0,3.0,1.5,73820,112,990,0.0015172040097534544,0.11313131313131314,8.38609229657726
8.0,0.0,5.0,1.5,73820,111,991,0.0015036575453806556,0.11200807265388496,8.311216472500677
8.0,0.0,8.0,1.5,73820,84,1018,0.0011379030073150908,0.0825147347740668,6.289569222432945
8.0,1.0,3.0,1.5,73820,200,902,0.00270929287455974,0.22172949002217296,14.975164815316537
8.0,1.0,5.0,1.5,73820,189,913,0.0025602817664589542,0.20700985761226726,14.151530750474127
8.0,1.0,8.0,1.5,73820,101,1001,0.0013681929016526686,0.1008991008991009,7.56245823173485
8.0,2.0,3.0,1.5,73820,242,860,0.0032782443782172852,0.2813953488372093,18.119949426533008
8.0,2.0,5.0,1.5,73820,219,883,0.002966675697642915,0.2480181200453001,16.397805472771605
8.0,2.0,8.0,1.5,73820,104,998,0.0014088322947710648,0.10420841683366733,7.787085703964599
10.0,0.0,3.0,1.5,73820,20,473,0.000270929287455974,0.042283298097251586,1.4975164815316537
10.0,0.0,5.0,1.5,73820,20,473,0.000270929287455974,0.042283298097251586,1.4975164815316537
10.0,0.0,8.0,1.5,73820,16,477,0.0002167434299647792,0.033542976939203356,1.1980131852253229
10.0,1.0,3.0,1.5,73820,48,445,0.0006502302898943376,0.10786516853932585,3.5940395556759688
10.0,1.0,5.0,1.5,73820,43,450,0.0005824979680303441,0.09555555555555556,3.2196604352930556
10.0,1.0,8.0,1.5,73820,19,474,0.0002573828230831753,0.04008438818565401,1.422640657455071
10.0,2.0,3.0,1.5,73820,64,429,0.0008669737198591168,0.14918414918414918,4.792052740901291
10.0,2.0,5.0,1.5,73820,55,438,0.0007450555405039285,0.12557077625570776,4.1181703242120475
10.0,2.0,8.0,1.5,73820,22,471,0.0002980222162015714,0.04670912951167728,1.647268129684819
12.0,0.0,3.0,1.5,73820,2,237,2.70929287455974e-05,0.008438818565400843,0.14975164815316536
12.0,0.0,5.0,1.5,73820,2,237,2.70929287455974e-05,0.008438818565400843,0.14975164815316536
12.0,0.0,8.0,1.5,73820,1,238,1.35464643727987e-05,0.004201680672268907,0.07487582407658268
12.0,1.0,3.0,1.5,73820,10,229,0.000135464643727987,0.043668122270742356,0.7487582407658269
12.0,1.0,5.0,1.5,73820,10,229,0.000135464643727987,0.043668122270742356,0.7487582407658269
12.0,1.0,8.0,1.5,73820,1,238,1.35464643727987e-05,0.004201680672268907,0.07487582407658268
12.0,2.0,3.0,1.5,73820,15,224,0.0002031969655919805,0.06696428571428571,1.1231373611487403
12.0,2.0,5.0,1.5,73820,13,226,0.0001761040368463831,0.05752212389380531,0.9733857129955749
12.0,2.0,8.0,1.5,73820,1,238,1.35464643727987e-05,0.004201680672268907,0.07487582407658268
