alert_id,reason,mjd,band,detail,predicted_njy,limit_njy
313998569141960715,extended,61057.299940409925,u,,,
314003014934855822,extended,61058.304939477785,u,,,
314003015069073534,extended,61058.306015071896,u,,,
314003015911079937,extended,61058.31079686912,z,,,
314003013860589670,extended,61058.29814527916,r,,,
314003014129025112,extended,61058.29953742743,r,,,
314011775879086178,extended,61060.29149791019,r,,,
314011776013303910,extended,61060.29189427691,r,,,
314011776415957095,extended,61060.29476511259,r,,,
314007345872502837,extended,61059.15816976832,g,,,
314002971426816101,chromatic,61058.10292457545,r,grey_excluded_by_z_nondetection,79265.3,3694.8
314003015642644481,chromatic,61058.309229928534,z,grey_excluded_by_r_nondetection,2955.3,799.8
