target_id,night,mjd,polarity,bands,dflux_njy,dflux_err_njy,strongest_band,a,a_err,sep_arcsec,sep_sigma,grey_z,grey_tested,colour_temp_k,verdict,alert_ids,per_band,reasons
2456848359920712064,n58470,58471.17221060023,flash,"[""r""]",2185546.2431686306,75769.92070319413,r,0.11769551337902227,0.004108507387159095,0.600117810984337,1.697389471051814,,False,,kept,"[""717172211415015095""]","{""r"": {""mjd"": 58471.17221060023, ""dflux_njy"": 2185546.2431686306, ""dflux_err_njy"": 75769.92070319413, ""a"": 0.11769551337902227, ""a_err"": 0.004108507387159095, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 13.227999769005958, ""snr"": 28.844510102232395, ""reliability"": 0.696667}}","[""greyness_untested_single_band"", ""nondetection_untestable_prediction_below_detection_limit"", ""colour_temperature_untestable""]"
58775497870151168,n58695,58696.48549770005,flash,"[""r""]",68242.91979746065,9109.315180988777,r,0.3581441562900384,0.05077991906151828,0.1631742426885589,0.46152586085137204,,False,,kept,"[""942485491615015030""]","{""r"": {""mjd"": 58696.48549770005, ""dflux_njy"": 68242.91979746065, ""dflux_err_njy"": 9109.315180988777, ""a"": 0.3581441562900384, ""a_err"": 0.05077991906151828, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 18.200000673312232, ""snr"": 7.491553255274803, ""reliability"": 1.0}}","[""greyness_untested_single_band"", ""nondetection_untestable_no_baseline_other_band"", ""colour_temperature_untestable""]"
1752254267732277888,n58702,58703.40425929986,flash,"[""r""]",484579.1147249247,37588.14085680542,r,0.26975207502169374,0.021266772481210505,0.3354188836170352,0.948707451181149,,False,,kept,"[""949404251115015016""]","{""r"": {""mjd"": 58703.40425929986, ""dflux_njy"": 484579.1147249247, ""dflux_err_njy"": 37588.14085680542, ""a"": 0.26975207502169374, ""a_err"": 0.021266772481210505, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 15.764000254787897, ""snr"": 12.891808524687661, ""reliability"": 0.9967779}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
5161807767825277184,n58780,58781.39815969998,dip,"[""g""]",-90743.59901843936,13890.390914879172,g,-0.10960148242316084,0.016877488443127645,0.9546071151406992,2.7000358114237493,,False,,kept,"[""1027398151215010014""]","{""g"": {""mjd"": 58781.39815969998, ""dflux_njy"": -90743.59901843936, ""dflux_err_njy"": 13890.390914879172, ""a"": -0.10960148242316084, ""a_err"": 0.016877488443127645, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.60500107067755, ""snr"": -6.532832630450755, ""reliability"": 0.9072932}}","[""greyness_untested_single_band""]"
2456848359920712064,n58846,58847.08512730012,dip,"[""r""]",-4222690.002241907,231325.45609114654,r,-0.22038854261298965,0.012362951743569519,0.18811846901774848,0.5320793673980354,,False,,kept,"[""1093085120315010133""]","{""r"": {""mjd"": 58847.08512730012, ""dflux_njy"": -4222690.002241907, ""dflux_err_njy"": 231325.45609114654, ""a"": -0.22038854261298965, ""a_err"": 0.012362951743569519, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 13.193999532512727, ""snr"": -18.25432476648004, ""reliability"": 0.9681375}}","[""greyness_untested_single_band""]"
3398180156118506240,n58858,58859.32782409992,flash,"[""r""]",136801.9852983348,15897.247865696378,r,0.23361083067008667,0.027877963790181814,0.5221994096296371,1.477002207666461,,False,,kept,"[""1105327822415015008""]","{""r"": {""mjd"": 58859.32782409992, ""dflux_njy"": 136801.9852983348, ""dflux_err_njy"": 15897.247865696378, ""a"": 0.23361083067008667, ""a_err"": 0.027877963790181814, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.981001434191825, ""snr"": 8.605387954825236, ""reliability"": 0.998732}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2800312565254313856,n58861,58862.12443289999,flash,"[""g""]",290902.05350361275,19013.03549698779,g,0.36420552494197633,0.025082047031704347,0.47902996730574054,1.3549011706948906,,False,,kept,"[""1108124434815015016""]","{""g"": {""mjd"": 58862.12443289999, ""dflux_njy"": 290902.05350361275, ""dflux_err_njy"": 19013.03549698779, ""a"": 0.36420552494197633, ""a_err"": 0.025082047031704347, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.64399935677028, ""snr"": 15.300137295262504, ""reliability"": 0.877143}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
58775497870151168,n58862,58863.13480320014,flash,"[""g""]",76399.19807096467,7071.782223704282,g,1.7926246859857304,0.34060498603359424,0.2783834140458674,0.7873859251950527,,False,,kept,"[""1109134801615015037""]","{""g"": {""mjd"": 58863.13480320014, ""dflux_njy"": 76399.19807096467, ""dflux_err_njy"": 7071.782223704282, ""a"": 1.7926246859857304, ""a_err"": 0.34060498603359424, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 19.82600143184306, ""snr"": 10.803386707084693, ""reliability"": 1.0}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
2542725749968879488,n59077,59078.41773150023,dip,"[""g""]",-1417894.2070259035,81657.81369125561,g,-0.4062974108610516,0.02504076159740381,0.17225417176549593,0.48720834293188536,,False,,kept,"[""1324417734015020002""]","{""g"": {""mjd"": 59078.41773150023, ""dflux_njy"": -1417894.2070259035, ""dflux_err_njy"": 81657.81369125561, ""a"": -0.4062974108610516, ""a_err"": 0.02504076159740381, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 15.043000566576115, ""snr"": -17.363852189171944, ""reliability"": 0.99988604}}","[""greyness_untested_single_band""]"
58775497870151168,n59089,59090.47262729984,flash,"[""r""]",59964.58052877918,7928.5466065523815,r,0.31469878061397993,0.043621406848084965,0.6038305165635248,1.7078869627115296,,False,,kept,"[""1336472621615015019""]","{""r"": {""mjd"": 59090.47262729984, ""dflux_njy"": 59964.58052877918, ""dflux_err_njy"": 7928.5466065523815, ""a"": 0.31469878061397993, ""a_err"": 0.043621406848084965, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 18.200000650310965, ""snr"": 7.563123924783731, ""reliability"": 0.99999946}}","[""greyness_untested_single_band"", ""nondetection_untestable_no_baseline_other_band"", ""colour_temperature_untestable""]"
