alert_id,reason,mjd,band,detail,predicted_njy,limit_njy,sep_arcsec,sep_sigma,grey_z
677277291315015033,low_reliability,58431.27729169978,r,,,,,,
677284280015015021,low_reliability,58431.28428239981,r,,,,,,
701302811315015011,low_reliability,58455.302812499925,r,,,,,,
708316494115010007,low_reliability,58462.31649310002,r,,,,,,
708350306215015035,low_significance,58462.35030090017,g,,,,,,
717189751315010163,low_reliability,58471.18975690007,r,,,,,,
733226006215015040,low_significance,58487.22600689996,g,,,,,,
736227334115010055,low_reliability,58490.2273380002,r,,,,,,
736193176215015027,low_reliability,58490.193171299994,r,,,,,,
739224976215010017,low_significance,58493.224976900034,g,,,,,,
750260474115010004,low_reliability,58504.26047449978,r,,,,,,
752242754115010005,low_reliability,58506.24275460001,r,,,,,,
752242304315015042,low_reliability,58506.242303200066,r,,,,,,
753262144115010006,low_reliability,58507.26214119978,r,,,,,,
754261734115010014,low_reliability,58508.261736100074,r,,,,,,
804130726215015040,low_significance,58558.13072919985,g,,,,,,
804165186215015026,low_reliability,58558.16518520005,r,,,,,,
813164526215015016,low_significance,58567.16452550003,g,,,,,,
820157221315010019,low_reliability,58574.157222200185,g,,,,,,
831138096215015005,low_reliability,58585.13809029991,r,,,,,,
914338311015010019,low_significance,58668.33831019979,r,,,,,,
962484914115010012,low_reliability,58716.48491899995,r,,,,,,
971502266115010004,low_reliability,58725.50226850016,r,,,,,,
981477834115010027,chromatic,58735.4778355998,g,grey_excluded_by_r_nondetection,248010.1,28725.0,,,
1002502374115010029,low_reliability,58756.50237269979,r,,,,,,
1009461294115015013,chromatic,58763.46129629994,g,grey_excluded_by_r_nondetection,309256.1,29271.2,,,
1010507804815010015,chromatic,58764.50780089991,g,grey_excluded_by_r_nondetection,1381482.1,29577.4,,,
1012478664115015018,low_significance,58766.47866899986,g,,,,,,
1012441856215015023,chromatic,58766.44185189996,g,grey_excluded_by_r_nondetection,221255.7,27286.0,,,
1013482304815010019,low_significance,58767.482303199824,g,,,,,,
1021420424815010009,low_reliability,58775.42042820016,g,,,,,,
1022525926215015024,low_significance,58776.525925899856,g,,,,,,
1024482774815010006,low_reliability,58778.482777799945,r,,,,,,
1028295310015025025,chromatic,58782.29531250009,g,grey_excluded_by_r_nondetection,893231.2,30965.6,,,
1033523024815010025,low_significance,58787.5230208002,r,,,,,,
1034334526215010032,low_significance,58788.33452549996,r,,,,,,
1036505424815010013,low_significance,58790.50542820012,r,,,,,,
1043249746215010011,low_significance,58797.24974540016,g,,,,,,
1049422784815010009,low_reliability,58803.42278939998,r,,,,,,
1052463204815010006,chromatic,58806.46320600016,g,grey_excluded_by_r_nondetection,1335879.9,29986.1,,,
1057331812815010011,low_reliability,58811.331817099825,r,,,,,,
1057289326215015111,low_significance,58811.28932869993,g,,,,,,
1079275784115010016,bad_pixels,58833.27578700008,r,,,,,,
1079178261215010016,astrometric_offset,58833.17826389987,g,,,,1.38522110405412,3.9179956272825525,
1079293424115010035,astrometric_offset,58833.29342589993,r,,,,1.0748351723256915,3.0400923909365805,
1081419124815010021,low_reliability,58835.41912040021,r,,,,,,
1081412566215015029,astrometric_offset,58835.41256939992,r,,,,1.0970016384946863,3.102788750758516,
1083234651215010011,chromatic,58837.23465280002,r,grey_excluded_by_g_nondetection,116344.8,31367.5,,,
1092232666215015022,chromatic,58846.23266200023,g,grey_excluded_by_r_nondetection,280891.1,28619.4,,,
1096131756215010036,astrometric_offset,58850.1317592999,r,,,,1.0613722180833096,3.002013537489769,
