species,source,line_source,predicted_frequencies,verify_constants,tex_k,n_features_tested,n_coincident,n_coincident_vetoed,spearman_rho,lte_testable,lte_pass,top5_fraction_any,top5_fraction_uline,p_false,p_false_full,n_trials,pattern,coincident_freq_mhz
CH2F2,irc10216_he2008,jpl,False,False,50.0,40.0,1,0,,False,,0.0,0.0,0.024975024975024976,0.000999000999000999,1000.0,False,140990.638
NF3,irc10216_he2008,jpl,False,False,10.0,3.0,0,0,,False,,0.0,0.0,1.0,0.000999000999000999,1000.0,False,
CHF3,irc10216_he2008,predicted,True,True,10.0,2.0,0,0,,False,,0.5,0.0,1.0,0.000999000999000999,1000.0,False,
CF3Cl,irc10216_he2008,predicted,True,True,10.0,12.0,0,0,,False,,0.2,0.0,1.0,0.000999000999000999,1000.0,False,
CF3CN,irc10216_he2008,predicted,True,True,10.0,12.0,0,0,,False,,0.0,0.0,1.0,0.000999000999000999,1000.0,False,
COF2,irc10216_he2008,jpl,False,False,10.0,40.0,0,0,,False,,0.2,0.0,1.0,0.000999000999000999,1000.0,False,
CF2Cl2,irc10216_he2008,,False,False,,,0,0,,,,,,,,,False,
CFCl3,irc10216_he2008,,False,False,,,0,0,,,,,,,,,False,
SO2F2,irc10216_he2008,,False,False,,,0,0,,,,,,,,,False,
CHClF2,irc10216_he2008,,False,False,,,0,0,,,,,,,,,False,
CF2,irc10216_he2008,,False,False,,,0,0,,,,,,,,,False,
