angle	query_name	arxiv_id	published	title	authors	cats
A1	lurkers_benford	1903.09582v2	2019-03-22	Looking for Lurkers	James Benford	astro-ph.IM,physics.pop-ph
A1	lurker_coorbital	1903.09582v2	2019-03-22	Looking for Lurkers	James Benford	astro-ph.IM,physics.pop-ph
A1	seta_artifacts	2510.17907v1	2025-10-19	A Cost-Effective Search for Extraterrestrial Probes in the Solar System	Beatriz Villarroel; Wesley A. Watters; Alina Streblyanska; Enrique Solano; Stefan Geier; Lars Mattsson	astro-ph.IM,astro-ph.EP
A1	seta_acronym	2309.05000v2	2023-09-10	Multiphase Neutral Interstellar Medium: Analyzing Simulation with H I 21cm Observational Data Analysis Techniques	Soumyadeep Bhattacharjee; Nirupam Roy; Prateek Sharma; Amit Seta; Christoph Federrath	astro-ph.GA
A1	seta_acronym	2202.03364v1	2022-01-12	The Cosmic Hitchhikers Hypothesis: Extraterrestrial Civilizations Using Free-Floating Planets for Interstellar Colonization	Irina K. Romanovskaya	physics.pop-ph
A1	probe_solar_system_search	1111.1212v1	2011-11-04	On the likelihood of non-terrestrial artifacts in the Solar System	Jacob Haqq-Misra; Ravi Kumar Kopparapu	physics.pop-ph,astro-ph.EP,astro-ph.IM
A1	probe_solar_system_search	2606.13797v1	2026-06-11	Solar System Technosignatures	T. Joseph W. Lazio	astro-ph.EP,astro-ph.IM,physics.pop-ph
A1	probe_solar_system_search	2606.00463v4	2026-05-30	Some Thoughts on the Future of Technosignature Searches: Constraining the Fermi Paradox	Ian A. Crawford	astro-ph.IM,astro-ph.EP,physics.pop-ph
A1	probe_solar_system_search	2603.07333v3	2026-03-07	Broadband Searches for Extraterrestrial Technological Intelligence: a New Strategy To Find Nearby Alien Civilizations	B. Zuckerman	astro-ph.IM,physics.pop-ph
A1	probe_solar_system_search	1605.02169v1	2016-04-13	Why is there no von Neumann probe on Ceres? Error catastrophe can explain the Fermi-Hart Paradox	Axel Kowald	physics.pop-ph,astro-ph.SR
A1	probe_solar_system_search	2308.14917v1	2023-08-28	Interstellar Diplomacy	John Gertz	physics.pop-ph
A1	probe_solar_system_search	1912.02616v2	2019-12-02	Interstellar communication network. I. Overview and assumptions	Michael Hippke	physics.pop-ph,astro-ph.EP,astro-ph.IM,astro-ph.SR
A1	probe_solar_system_search	1803.04883v1	2018-03-13	Melting probe technology for subsurface exploration of extraterrestrial ice - Critical refreezing length and the role of gravity	Kai Schüller; Julia Kowalski	physics.flu-dyn
A1	probe_solar_system_search	0912.1040v9	2009-12-07	Searching for Life on Habitable Planets and Moons	Ashwini Kumar Lal	physics.gen-ph
A1	probe_solar_system_search	1111.6131v1	2011-11-26	The Fermi Paradox, Self-Replicating Probes, and the Interstellar Transportation Bandwidth	Keith B. Wiley	physics.pop-ph,astro-ph.EP
A1	probe_solar_system_search	0910.0484v1	2009-10-02	The search for exomoons and the characterization of exoplanet atmospheres	Giammarco Campanella	astro-ph.EP
A1	probe_solar_system_search	2512.18142v2	2025-12-19	A Search for Radio Technosignatures from Interstellar Object 3I/ATLAS with the Allen Telescope Array	Sofia Z. Sheikh; Valeria Garcia Lopez; Isabel Gerrard; James R. A. Davenport; Wael Farah; Blayne Griffin; Steve Croft; Luigi F. Cruz	astro-ph.EP,astro-ph.IM,physics.pop-ph
A1	probe_solar_system_search	2411.08057v3	2024-11-08	The Grass of the Universe: Rethinking Technosphere, Planetary History, and Sustainability with Fermi Paradox	Lukáš Likavčan	physics.soc-ph,physics.hist-ph,physics.pop-ph
A1	probe_solar_system_search	2510.17907v1	2025-10-19	A Cost-Effective Search for Extraterrestrial Probes in the Solar System	Beatriz Villarroel; Wesley A. Watters; Alina Streblyanska; Enrique Solano; Stefan Geier; Lars Mattsson	astro-ph.IM,astro-ph.EP
A1	probe_solar_system_search	2203.08968v1	2022-03-16	Opportunities for Technosignature Science in the Astro2020 Report	Jacob Haqq-Misra; Sofia Sheikh; Manasvi Lingam; Ravi Kopparapu; Adam Frank; Jason Wright; Eric Mamajek; Nick Siegler	astro-ph.IM,astro-ph.EP,physics.pop-ph
A1	probe_solar_system_search	1704.07691v1	2017-04-25	Habitability of Exoplanetary Systems	Vera Dobos	astro-ph.EP
A1	alien_artefact_search	1611.10022v1	2016-11-30	A Case Study on Artefact-based RE Improvement in Practice	D. Méndez Ferández; S. Wagner	cs.SE
A1	alien_artifact_search	1704.07263v2	2017-04-24	Prior Indigenous Technological Species	Jason T. Wright	astro-ph.EP,physics.pop-ph
A1	artificial_object_solar_system	0905.0300v2	2009-05-04	Recent Attempts to Measure the General Relativistic Lense-Thirring Effect with Natural and Artificial Bodies in the Solar System	Lorenzo Iorio	gr-qc,astro-ph.EP,astro-ph.SR,physics.geo-ph,physics.space-ph
A1	artificial_object_solar_system	2510.17907v1	2025-10-19	A Cost-Effective Search for Extraterrestrial Probes in the Solar System	Beatriz Villarroel; Wesley A. Watters; Alina Streblyanska; Enrique Solano; Stefan Geier; Lars Mattsson	astro-ph.IM,astro-ph.EP
A1	galileo_project	2209.02479v1	2022-08-02	Overview of the Galileo Project	Abraham Loeb	physics.pop-ph,astro-ph.EP,astro-ph.IM
A1	galileo_project	2412.12142v1	2024-12-09	A New Method to Derive an Empirical Lower Limit on the Mass Density of a UFO	Abraham Loeb	physics.pop-ph,astro-ph.IM
A1	galileo_project	2110.15213v3	2021-10-20	On the Possibility of an Artificial Origin for `Oumuamua	Abraham Loeb	physics.pop-ph,astro-ph.EP,astro-ph.IM,physics.soc-ph
A1	galileo_project	2506.00125v1	2025-05-30	Galileo Project Observatory Class System Architecture	Phillip Bridgham; Alex Delacroix; Laura Domine; Andriy Fedorenko; Ezra Kelderman; Sarah Little; Abraham Loeb; Robert Lundstrom	astro-ph.IM
