angle	query_name	arxiv_id	published	title	authors
A2	propulsion_detectable_solar_system	1804.09379v1	2018-04-25	Gaia Data Release 2: Observations of solar system objects	Gaia Collaboration; F. Spoto; P. Tanga; F. Mignard; J. Berthier; B. Carry; A. Cellino
A3	ellery_self_replication	2510.00082v1	2025-09-30	Technosignatures of Self-Replicating Probes in the Solar System	Alex Ellery
A3	replication_signature_population	2405.04646v1	2024-05-07	Artificial Broadcasts as Galactic Populations: I. A Point Process Formalism for Extraterrestrial Intelligences and Their Broadcasts	Brian C. Lacki
A4	family_outlier_artificial_test	2412.10264v1	2024-12-13	On The Lunar Origin of Near-Earth Asteroid 2024 PT5	Theodore Kareta; Oscar Fuentes-Muñoz; Nicholas Moskovitz; Davide Farnocchia; Benjamin N. L. Sharkey
A4	sfd_slope_artificial_debris	2110.06706v2	2021-10-13	Collision fragmentation of aggregates. The role of the interaction potential between comprising particles	Alexander Osinsky; Nikolai Brilliantov
A4	sfd_slope_artificial_debris	2110.10072v1	2021-10-04	Dynamic Split Tensile Strength of Basalt, Granite, Marble and Sandstone: Strain rate dependency and Fragmentation	Vivek Padmanabha; Frank Schaefer; Auriol S. P. Rae; Thomas Kenkmann
A4	orbital_clustering_seti	1907.05259v2	2019-07-10	Searching for Extraterrestrial Intelligence by Locating Potential ET Communication Networks in Space	Ross Davis
A4	orbital_clustering_seti	1601.03455v1	2016-01-14	Globular Clusters as Cradles of Life and Advanced Civilizations	R. Di Stefano; A. Ray
A4	cluster_orbital_elements_anomaly	1207.0836v1	2012-07-03	Searching for the first Near-Earth Object family	Eva Schunova; Mikael Granvik; Robert Jedicke; Giovanni Gronchi; Richard Wainscoat; Shinsuke Abe
A4	cluster_orbital_elements_anomaly	1501.04649v1	2015-01-19	Collisional family structure within the Nysa-Polana complex	Melissa Dykhuis; Richard Greenberg
A5	albedo_homogeneity_family	1902.01633v1	2019-02-05	An ancient and a primordial collisional family as the main sources of X-type asteroids of the inner Main Belt	Marco Delbo; Chrysa Avdellidou; Alessandro Morbidelli
A5	albedo_homogeneity_family	2105.11994v1	2021-05-25	A comparative analysis of the outer-belt primitive families	M. N. De Prá; N. Pinilla-Alonso; J. Carvano; J. Licandro; D. Morate; V. Lorenzi; J. de León; H. Campins
A5	albedo_homogeneity_family	1507.07887v1	2015-07-28	The Euphrosyne family's contribution to the low albedo near-Earth asteroids	Joseph R. Masiero; V. Carruba; A. Mainzer; J. M. Bauer; C. Nugent
A5	albedo_homogeneity_family	1601.05277v1	2016-01-20	Spectral variability on primitive asteroids of the Themis and Beagle families: space weathering effects or parent body heterogeneity?	S. Fornasier; C. Lantz; D. Perna; H. Campins; M. A. Barucci; D. Nesvorny
A5	albedo_homogeneity_family	1801.02461v1	2018-01-08	Exogenous origin of hydration on asteroid (16) Psyche: The role of hydrated asteroid families	C. Avdellidou; M. Delbo'; A. Fienga
A5	albedo_homogeneity_family	1109.4096v1	2011-09-19	Main Belt Asteroids with WISE/NEOWISE I: Preliminary Albedos and Diameters	Joseph R. Masiero; A. K. Mainzer; T. Grav; J. M. Bauer; R. M. Cutri; J. Dailey; P. R. M. Eisenhardt; R. S. McMillan
A5	albedo_homogeneity_family	2602.20382v1	2026-02-23	A Census Before Rubin of Asteroid Families in the Main Belt	David Nesvorny
