lam_um,response
13.3991,0.0013151
13.4164,0.0012246
13.4338,0.0011259
13.4513,0.0016087
13.4687,0.0017099
13.4862,0.0023619
13.5038,0.0034993
13.5214,0.0039681
13.5391,0.0045091
13.5568,0.0053747
13.5745,0.0064509
13.5923,0.0081819
13.6101,0.010214
13.628,0.012127
13.6459,0.015472
13.6639,0.019568
13.6819,0.02366
13.7,0.029604
13.7182,0.037725
13.7363,0.048014
13.7545,0.060406
13.7728,0.076178
13.7911,0.096999
13.8095,0.12366
13.8279,0.1568
13.8463,0.19683
13.8649,0.16261
13.8834,0.20267
13.902,0.24958
13.9207,0.30297
13.9394,0.36056
13.9582,0.41884
13.977,0.47379
13.9958,0.52284
14.0147,0.56361
14.0337,0.59607
14.0527,0.61953
14.0718,0.63496
14.0909,0.64521
14.1101,0.65108
14.1293,0.65432
14.1486,0.6566
14.1679,0.65852
14.1873,0.66004
14.2067,0.66614
14.2262,0.67287
14.2458,0.67956
14.2654,0.68584
14.285,0.69248
14.3047,0.70008
14.3245,0.70799
14.3443,0.71538
14.3642,0.72212
14.3841,0.72844
14.404,0.73502
14.4241,0.73917
14.4442,0.74247
14.4643,0.74525
14.4845,0.74847
14.5048,0.75158
14.5251,0.75323
14.5455,0.75572
14.5659,0.75985
14.5864,0.76332
14.6069,0.76583
14.6275,0.76876
14.6482,0.77048
14.6689,0.77172
14.6897,0.77242
14.7105,0.77248
14.7314,0.77303
14.7524,0.77447
14.7734,0.77604
14.7945,0.77749
14.8156,0.78142
14.8368,0.78491
14.8581,0.78789
14.8794,0.79153
14.9007,0.79592
14.9222,0.8
14.9437,0.80232
14.9653,0.80366
14.9869,0.80573
15.0086,0.81075
15.0303,0.81709
15.0521,0.82144
15.074,0.82542
15.096,0.83118
15.118,0.83587
15.14,0.8388
15.1622,0.84126
15.1844,0.8441
15.2066,0.84712
15.2289,0.8493
15.2514,0.85088
15.2738,0.85335
15.2963,0.85787
15.3189,0.86276
15.3416,0.86718
15.3643,0.8708
15.3871,0.87477
15.41,0.87884
15.4329,0.88349
15.4559,0.8864
15.479,0.88774
15.5021,0.8888
15.5253,0.88457
15.5486,0.88024
15.5719,0.87673
15.5954,0.87349
15.6188,0.86925
15.6424,0.86707
15.666,0.86534
15.6897,0.86463
15.7135,0.86416
15.7374,0.8633
15.7613,0.86194
15.7853,0.86054
15.8093,0.85805
15.8335,0.85421
15.8577,0.85055
15.882,0.8473
15.9063,0.8435
15.9307,0.83898
15.9553,0.83453
15.9798,0.83109
16.0045,0.8309
16.0292,0.8351
16.0541,0.83905
16.0789,0.8428
16.1039,0.84636
16.129,0.85009
16.1541,0.85422
16.1793,0.85561
16.2046,0.85492
16.2299,0.85447
16.2554,0.85454
16.2809,0.8544
16.3065,0.85362
16.3321,0.85183
16.3579,0.85013
16.3838,0.85438
16.4097,0.85916
16.4357,0.86282
16.4618,0.86592
16.4879,0.86985
16.5142,0.87671
16.5405,0.88545
16.567,0.89199
16.5935,0.8973
16.6201,0.90254
16.6467,0.90786
16.6735,0.91301
16.7003,0.91879
16.7273,0.92473
16.7543,0.93015
16.7814,0.93768
16.8086,0.94595
16.8359,0.95449
16.8633,0.96334
16.8908,0.97135
16.9183,0.9798
16.9459,0.989
16.9737,0.99656
17.0015,1.0
17.0294,0.99684
17.0574,0.99474
17.0855,0.99347
17.1137,0.99193
17.142,0.98986
17.1704,0.9878
17.1989,0.9876
17.2274,0.98702
17.2561,0.9865
17.2849,0.98624
17.3137,0.9851
17.3427,0.98365
17.3717,0.98246
17.4009,0.9828
17.4301,0.98426
17.4595,0.9845
17.4889,0.98378
17.5184,0.98211
17.5481,0.98046
17.5778,0.97892
17.6077,0.97639
17.6376,0.97628
17.6677,0.97685
17.6978,0.97672
17.7281,0.9763
17.7584,0.97541
17.7889,0.97413
17.8195,0.973
17.8501,0.96983
17.8809,0.96508
17.9118,0.9605
17.9428,0.95608
17.9739,0.9523
18.0051,0.94858
18.0364,0.9474
18.0678,0.9461
18.0993,0.9447
18.131,0.94431
18.1627,0.9441
18.1946,0.94355
18.2266,0.94252
18.2587,0.94044
18.2909,0.93663
18.3232,0.93353
18.3556,0.93139
18.3881,0.92992
18.4208,0.92987
18.4536,0.92925
18.4865,0.92862
18.5195,0.92804
18.5526,0.92678
18.5859,0.92459
18.6192,0.92237
18.6527,0.91957
18.6863,0.91629
18.7201,0.91312
18.7539,0.90999
18.7879,0.907
18.822,0.90809
18.8562,0.90883
18.8906,0.90908
18.925,0.91071
18.9596,0.91366
18.9944,0.91686
19.0292,0.91705
19.0642,0.91376
19.0993,0.90936
19.1345,0.90539
19.1699,0.90266
19.2054,0.90149
19.241,0.90166
19.2768,0.90051
19.3127,0.89748
19.3487,0.89641
19.3849,0.89656
19.4212,0.8982
19.4576,0.89921
19.4942,0.89871
19.5309,0.89204
19.5678,0.88408
19.6048,0.87479
19.6419,0.8646
19.6792,0.85509
19.7166,0.84324
19.7541,0.82938
19.7918,0.81664
19.8297,0.80508
19.8677,0.79451
19.9058,0.78672
19.9441,0.77786
19.9825,0.76794
20.0211,0.76821
20.0598,0.77755
20.0987,0.78669
20.1377,0.79473
20.1769,0.79948
20.2162,0.80189
20.2557,0.80539
20.2953,0.81117
20.3351,0.81705
20.3751,0.82229
20.4152,0.8275
20.4555,0.83267
20.4959,0.84093
20.5365,0.84014
20.5772,0.83788
20.6181,0.83515
20.6592,0.83228
20.7004,0.82969
20.7418,0.82747
20.7834,0.82382
20.8251,0.81809
20.867,0.81228
20.9091,0.80671
20.9513,0.8019
20.9938,0.7981
21.0364,0.79844
21.0791,0.7997
21.122,0.80443
21.1651,0.8081
21.2084,0.81106
21.2519,0.81432
21.2955,0.81992
21.3393,0.82563
21.3833,0.83265
21.4275,0.83751
21.4719,0.83842
21.5164,0.83912
21.5612,0.84161
21.6061,0.84589
21.6512,0.85109
21.6965,0.85558
21.742,0.85957
21.7876,0.86223
21.8335,0.86226
21.8796,0.86227
21.9258,0.86159
21.9723,0.86153
22.0189,0.85986
22.0658,0.85583
22.1128,0.8529
22.1601,0.85044
22.2075,0.84793
22.2552,0.84623
22.303,0.8459
22.3511,0.84561
22.3994,0.84404
22.4479,0.84183
22.4966,0.84016
22.5455,0.83595
22.5946,0.83297
22.6439,0.82833
22.6935,0.82163
22.7432,0.81615
22.7932,0.81527
22.8434,0.81461
22.8939,0.81237
22.9445,0.80759
22.9954,0.80347
23.0465,0.80923
23.0978,0.8175
23.1494,0.82461
23.2012,0.828
23.2532,0.82999
23.3054,0.83297
23.3579,0.83574
23.4107,0.8372
23.4636,0.83946
23.5168,0.83693
23.5703,0.82372
23.624,0.81349
23.6779,0.8031
23.7321,0.79332
23.7865,0.78354
23.8412,0.77373
23.8961,0.76332
23.9513,0.75174
24.0068,0.7376
24.0625,0.72913
24.1184,0.7221
24.1746,0.71403
24.2311,0.70486
24.2879,0.69458
24.3449,0.6846
24.4022,0.67419
24.4597,0.66116
24.5175,0.6494
24.5756,0.64242
24.634,0.63536
24.6927,0.62824
24.7516,0.6209
24.8108,0.61338
24.8703,0.60791
24.9301,0.60347
24.9902,0.59844
25.0505,0.57314
25.1112,0.54485
25.1721,0.51713
25.2334,0.49021
25.2949,0.46363
25.3568,0.43744
25.4189,0.41213
25.4814,0.38718
25.5441,0.3711
25.6072,0.35873
25.6706,0.34582
25.7343,0.33313
25.7983,0.31852
25.8626,0.30153
25.9273,0.28552
25.9923,0.2707
26.0576,0.2586
26.1232,0.24644
26.1892,0.2354
26.2555,0.22516
26.3221,0.21956
26.3891,0.21356
26.4564,0.20801
26.5241,0.19988
26.5921,0.18559
26.6605,0.17104
26.7292,0.15661
26.7982,0.14321
26.8677,0.13104
26.9375,0.11949
27.0076,0.10912
27.0781,0.10492
27.149,0.10033
27.2203,0.095394
27.2919,0.090497
27.3639,0.084607
27.4363,0.079431
27.5091,0.075004
27.5822,0.071729
27.6558,0.068351
27.7297,0.06495
27.8041,0.061781
27.8788,0.05875
27.954,0.055736
28.0295,0.051032
28.1055,0.043919
28.1818,0.037327
28.2586,0.031123
28.3358,0.025272
28.4135,0.019802
28.4915,0.014706
28.57,0.013794
28.649,0.013388
28.7283,0.0
