lam_um,response
4.5828,7.3318e-06
4.5848,8.286e-06
4.5869,9.2552e-06
4.5889,9.7876e-06
4.5909,9.9436e-06
4.593,1.0466e-05
4.595,1.1523e-05
4.597,1.2503e-05
4.5991,1.3207e-05
4.6011,1.3848e-05
4.6032,1.3968e-05
4.6052,1.3736e-05
4.6072,1.4375e-05
4.6093,1.563e-05
4.6113,1.6717e-05
4.6134,1.7349e-05
4.6155,1.7913e-05
4.6175,1.8819e-05
4.6196,1.981e-05
4.6216,2.0411e-05
4.6237,2.0687e-05
4.6257,2.1258e-05
4.6278,2.2144e-05
4.6299,2.2635e-05
4.6319,2.258e-05
4.634,2.2593e-05
4.6361,2.2959e-05
4.6382,2.3548e-05
4.6402,2.4121e-05
4.6423,2.5197e-05
4.6444,2.6619e-05
4.6465,2.8227e-05
4.6486,2.9413e-05
4.6506,3.0172e-05
4.6527,3.1518e-05
4.6548,3.3611e-05
4.6569,3.5166e-05
4.659,3.5518e-05
4.6611,3.6032e-05
4.6632,3.766e-05
4.6653,3.9452e-05
4.6674,4.0564e-05
4.6695,4.1473e-05
4.6716,4.2332e-05
4.6737,4.279e-05
4.6758,4.3378e-05
4.6779,4.5232e-05
4.68,4.8066e-05
4.6821,5.022e-05
4.6842,5.1204e-05
4.6864,5.1272e-05
4.6885,5.1948e-05
4.6906,5.5371e-05
4.6927,5.8476e-05
4.6948,5.9601e-05
4.697,6.0852e-05
4.6991,6.2801e-05
4.7012,6.4929e-05
4.7034,6.7184e-05
4.7055,6.8983e-05
4.7076,7.0923e-05
4.7098,7.4367e-05
4.7119,7.7131e-05
4.7141,7.7915e-05
4.7162,7.9279e-05
4.7183,8.2761e-05
4.7205,8.6485e-05
4.7226,8.7679e-05
4.7248,8.6869e-05
4.7269,8.8474e-05
4.7291,9.3273e-05
4.7313,9.6566e-05
4.7334,9.7291e-05
4.7356,9.9868e-05
4.7377,0.00010496
4.7399,0.00010768
4.7421,0.00010717
4.7442,0.00010742
4.7464,0.00010952
4.7486,0.00011182
4.7508,0.00011399
4.7529,0.00011666
4.7551,0.00012274
4.7573,0.00012913
4.7595,0.00013027
4.7617,0.00012851
4.7639,0.00013076
4.766,0.00013842
4.7682,0.00014639
4.7704,0.00015067
4.7726,0.00015216
4.7748,0.00015499
4.777,0.00016045
4.7792,0.00016542
4.7814,0.00016838
4.7836,0.00017049
4.7858,0.00017435
4.7881,0.00018084
4.7903,0.00018723
4.7925,0.00019226
4.7947,0.00019609
4.7969,0.00019761
4.7991,0.0001971
4.8014,0.00019634
4.8036,0.00020122
4.8058,0.00020918
4.808,0.00021054
4.8103,0.00021017
4.8125,0.00021551
4.8147,0.00022484
4.817,0.0002305
4.8192,0.00023009
4.8214,0.00023045
4.8237,0.00023631
4.8259,0.00024136
4.8282,0.00024375
4.8304,0.00025196
4.8327,0.00026384
4.8349,0.00027046
4.8372,0.0002747
4.8394,0.00028064
4.8417,0.00028718
4.844,0.00029376
4.8462,0.00029466
4.8485,0.00028848
4.8508,0.0002843
4.853,0.00029077
4.8553,0.00030323
4.8576,0.00031057
4.8598,0.0003128
4.8621,0.00031596
4.8644,0.00032155
4.8667,0.00032515
4.869,0.00032573
4.8713,0.00032929
4.8736,0.0003404
4.8758,0.00035281
4.8781,0.00035914
4.8804,0.00036538
4.8827,0.00037687
4.885,0.00038775
4.8873,0.00039158
4.8896,0.00039104
4.8919,0.00039454
4.8943,0.00040369
4.8966,0.00041348
4.8989,0.00041972
4.9012,0.00042208
4.9035,0.00042173
4.9058,0.00042387
4.9081,0.00043132
4.9105,0.00043542
4.9128,0.00043514
4.9151,0.00043923
4.9175,0.0004446
4.9198,0.00044968
4.9221,0.000464
4.9245,0.00047769
4.9268,0.00047726
4.9291,0.00048014
4.9315,0.00049563
4.9338,0.00051246
4.9362,0.00052348
4.9385,0.00052334
4.9409,0.00053158
4.9432,0.00055969
4.9456,0.00057797
4.948,0.00057204
4.9503,0.00056364
4.9527,0.0005682
4.955,0.00057889
4.9574,0.00059113
4.9598,0.0006045
