lam_um,response
19.05,5.4648e-05
19.06,0.00010264
19.07,0.00034272
19.08,0.00080407
19.09,0.0014978
19.1,0.0020629
19.11,0.0025077
19.12,0.0026433
19.13,0.002698
19.14,0.0025906
19.15,0.0024255
19.16,0.0021409
19.17,0.0017587
19.18,0.0012964
19.19,0.0007053
19.2,0.00030828
19.21,0.00017639
19.22,6.7857e-05
19.23,0.00016438
19.24,0.00018023
19.25,0.00016369
19.26,0.00030085
19.27,0.00042705
19.28,0.00054617
19.29,0.0006549
19.3,0.00015095
19.31,0.0007455
19.32,0.00081569
19.33,0.00092268
19.34,0.001053
19.35,0.0012265
19.36,0.0014029
19.37,0.0017762
19.38,0.002209
19.39,0.0029642
19.4,0.0038672
19.41,0.0047912
19.42,0.0056344
19.43,0.0063393
19.44,0.0068512
19.45,0.0073152
19.46,0.0076493
19.47,0.0079776
19.48,0.0082335
19.49,0.0084867
19.5,0.0088554
19.51,0.0093066
19.52,0.0099923
19.53,0.010916
19.54,0.012081
19.55,0.013649
19.56,0.015414
19.57,0.017887
19.58,0.0205
19.59,0.024044
19.6,0.027777
19.61,0.032494
19.62,0.037369
19.63,0.04286
19.64,0.048969
19.65,0.056002
19.66,0.063654
19.67,0.071927
19.68,0.081434
19.69,0.091564
19.7,0.10413
19.71,0.11701
19.72,0.13261
19.73,0.14887
19.74,0.16785
19.75,0.18713
19.76,0.20858
19.77,0.23132
19.78,0.25558
19.79,0.28203
19.8,0.30928
19.81,0.34337
19.82,0.37719
19.83,0.41444
19.84,0.45142
19.85,0.48874
19.86,0.5261
19.87,0.55731
19.88,0.58855
19.89,0.61704
19.9,0.64245
19.91,0.66479
19.92,0.68715
19.93,0.70612
19.94,0.72541
19.95,0.74131
19.96,0.75443
19.97,0.76103
19.98,0.76794
19.99,0.76833
20.0,0.76902
20.01,0.76629
20.02,0.76667
20.03,0.76737
20.04,0.76775
20.05,0.77126
20.06,0.77508
20.07,0.77859
20.08,0.78211
20.09,0.78562
20.1,0.78601
20.11,0.78672
20.12,0.79024
20.13,0.79691
20.14,0.80671
20.15,0.81653
20.16,0.82949
20.17,0.83933
20.18,0.84886
20.19,0.85556
20.2,0.85599
20.21,0.85956
20.22,0.85684
20.23,0.85726
20.24,0.85453
20.25,0.8518
20.26,0.84938
20.27,0.8498
20.28,0.8439
20.29,0.838
20.3,0.83209
20.31,0.82617
20.32,0.82025
20.33,0.81749
20.34,0.81789
20.35,0.81829
20.36,0.82472
20.37,0.83147
20.38,0.8414
20.39,0.84816
20.4,0.85493
20.41,0.85853
20.42,0.86213
20.43,0.86573
20.44,0.86934
20.45,0.87614
20.46,0.88294
20.47,0.89293
20.48,0.89975
20.49,0.90976
20.5,0.9102
20.51,0.91384
20.52,0.91109
20.53,0.90834
20.54,0.90238
20.55,0.89962
20.56,0.89686
20.57,0.89409
20.58,0.89453
20.59,0.89496
20.6,0.89219
20.61,0.88941
20.62,0.88663
20.63,0.88064
20.64,0.87785
20.65,0.87184
20.66,0.87226
20.67,0.8759
20.68,0.88277
20.69,0.89286
20.7,0.89974
20.71,0.90663
20.72,0.91029
20.73,0.91073
20.74,0.90794
20.75,0.90192
20.76,0.89588
20.77,0.88985
20.78,0.8838
20.79,0.88423
20.8,0.88465
20.81,0.88832
20.82,0.88875
20.83,0.89242
20.84,0.89609
20.85,0.89652
20.86,0.8937
20.87,0.89413
