# SLAG-WD natural family: elemental mass fractions (ppm by mass) of the
# natural end-members a polluted white dwarf can be fed from, plus each
# element's atomic mass (A) and 50% condensation temperature (Tc50, K,
# Lodders 2003 ApJ 591, 1220, solar-composition gas at 1e-4 bar).
#
# Sources (values transcribed at the ~0.05-0.1 dex level from the group
# means / model compositions of):
#   CI ............ Lodders 2003 (Table 2), Lodders 2021 (SSRv 217, 44)
#   CM CO CV H L LL EH EL ... Wasson & Kallemeyn 1988 (Phil.Trans. A 325, 535) group means
#   bulk_Earth, core ... McDonough 2003 (Treatise on Geochemistry 2, 547)
#   mantle_BSE .... McDonough & Sun 1995 (Chem. Geol. 120, 223)
#   crust_cont .... Rudnick & Gao 2003 (Treatise on Geochemistry 3, 1) bulk continental crust
#   Moon_BSM ...... Taylor & Wieczorek 2014 (Phil.Trans. A 372, 20130242) bulk silicate Moon
#   Mars_BSM ...... Taylor 2013 (Chem. Erde 73, 401) bulk silicate Mars
#   Vesta_eucrite . Kitts & Lodders 1998 (MAPS 33, A197) mean eucrite, HED parent-body crust
#   water_ice ..... pure H2O; CHON_organics ... a comet-like refractory organic
#                   (Jessberger 1988 CHON particles; C:N:O ~ 10:1:6 by number)
# Zeros in the McDonough core model (lithophiles Mg Al Ca Ti Sc Sr Ba K Na Li Be)
# are written as 1e-4 ppm so that logarithms stay finite; a mixture with any
# silicate fraction sets the real floor.  The channel's sigma_sys = 0.15 dex
# (config/slag.yaml) absorbs transcription-level differences between editions
# of these compilations; docs/slag.md section 3 states this explicitly.
element,A,Tc50_K,CI,CM,CO,CV,H,L,LL,EH,EL,bulk_Earth,core,mantle_BSE,crust_cont,Moon_BSM,Mars_BSM,Vesta_eucrite,water_ice,CHON_organics
Li,6.94,1142,1.45,1.5,1.6,1.7,1.7,1.8,1.9,2.0,1.5,1.1,0.0001,1.6,16,1.5,2.0,8,0.0001,0.0001
Be,9.012,1452,0.0219,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.0001,0.068,1.9,0.09,0.06,0.3,0.0001,0.0001
B,10.81,908,0.775,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.3,0.0001,0.3,11,0.3,0.3,0.5,0.0001,0.0001
C,12.011,40,34800,22000,4400,5300,2000,1600,1200,4000,3600,730,2000,120,1000,20,20,10,0.0001,600000
N,14.007,123,2950,1520,90,80,48,43,70,500,200,25,75,2,56,1,1,1,0.0001,70000
O,15.999,180,458200,432000,370000,370000,350000,377000,400000,280000,310000,297000,0.0001,440000,470000,430000,400000,430000,888000,280000
Na,22.99,958,4990,3900,4200,3300,6400,7000,7000,6800,5800,1800,0.0001,2670,23000,400,3700,3300,0.0001,0.0001
Mg,24.305,1336,95800,117000,145000,143000,140000,149000,153000,106000,141000,154000,0.0001,228000,28000,212000,187000,42000,0.0001,0.0001
Al,26.982,1653,8500,11300,14000,17500,11300,12200,11900,8200,10000,15900,0.0001,23500,84000,21000,16000,66000,0.0001,0.0001
Si,28.085,1310,106500,129000,158000,160000,169000,185000,189000,167000,186000,161000,60000,210000,283000,209000,205000,229000,0.0001,0.0001
P,30.974,1229,920,1000,1100,1100,1080,950,850,2200,1200,715,2000,90,570,60,740,300,0.0001,0.0001
S,32.06,664,54100,27000,22000,22000,20000,22000,23000,58000,33000,6350,19000,250,404,100,360,1500,0.0001,20000
K,39.098,1006,544,370,345,310,780,825,790,800,735,160,0.0001,240,15000,50,330,330,0.0001,0.0001
Ca,40.078,1517,9110,12700,15800,18400,12500,13100,13000,8500,10100,17100,0.0001,25300,46000,24000,17000,74000,0.0001,0.0001
Sc,44.956,1659,5.81,8.2,9.5,10.5,7.9,8.6,8.4,5.7,6.5,10.9,0.0001,16.2,21.9,14,13,30,0.0001,0.0001
Ti,47.867,1582,451,580,730,940,600,630,620,450,580,810,0.0001,1205,4300,1000,840,3600,0.0001,0.0001
V,50.942,1429,54.6,75,90,95,74,77,75,54,60,105,150,82,138,79,100,70,0.0001,0.0001
Cr,51.996,1296,2646,3050,3550,3600,3660,3880,3680,3150,3050,4700,9000,2625,135,2000,4800,2000,0.0001,0.0001
Mn,54.938,1158,1933,1650,1650,1550,2320,2570,2620,2200,1630,800,300,1045,770,1200,2900,4300,0.0001,0.0001
Fe,55.845,1334,182800,213000,250000,235000,275000,215000,185000,290000,220000,319000,855000,62600,52000,96000,141000,144000,0.0001,0.0001
Co,58.933,1352,506,560,690,655,810,590,490,840,670,880,2500,105,26.6,90,68,6,0.0001,0.0001
Ni,58.693,1353,10770,12300,14000,13400,16000,12000,10200,17500,13000,18200,52000,1960,59,470,330,5,0.0001,0.0001
Cu,63.546,1037,131,115,125,100,82,90,80,185,125,60,125,30,27,5,5,3,0.0001,0.0001
Zn,65.38,726,323,180,100,115,47,57,50,250,20,40,0.0001,55,72,3,62,2,0.0001,0.0001
Sr,87.62,1464,7.81,10,12,15,9,10,11,7,8,13,0.0001,19.9,320,30,13,80,0.0001,0.0001
Sn,118.71,704,1.68,0.8,0.6,0.6,0.5,0.5,0.5,2.5,0.5,0.25,0.5,0.13,1.7,0.1,0.4,0.3,0.0001,0.0001
Ba,137.33,1455,2.41,3.1,4.3,4.9,4.2,4.1,4.5,2.5,3.5,4.5,0.0001,6.6,456,10,5,30,0.0001,0.0001
Pb,207.2,727,2.53,1.6,1.2,1.4,0.24,0.25,0.25,1.0,0.5,0.23,0.4,0.15,11,0.1,0.3,0.3,0.0001,0.0001
